UNO;2015/01/06 15:22:20;0;sampleID;MQ2;DHT22 Temp(C);DHT22 HR;MQ9;HCHO;Lowpulse;ratio;Concentration
UNO;2015/01/06 15:24:49;0;sampleID;MQ2;DHT22 Temp(C);DHT22 HR;MQ9;HCHO;Lowpulse;ratio;Concentration
UNO;2015/01/06 15:25:19;1;1;0.16;20.90;42.00;0.17;1.22;28436;0.09;49.50
UNO;2015/01/06 15:25:51;2;2;0.15;20.90;42.00;0.18;1.16;0;0.00;0.62
UNO;2015/01/06 15:26:23;3;3;0.15;20.90;42.10;0.17;1.41;0;0.00;0.62
UNO;2015/01/06 16:59:35;0;sampleID;MQ2;DHT22 Temp(C);DHT22 HR;MQ9;HCHO;Lowpulse;ratio;Concentration
UNO;2015/01/06 17:00:07;1;1;0.12;20.40;40.00;0.15;1.33;0;0.00;0.62
UNO;2015/01/06 17:00:39;2;2;0.12;20.40;40.00;0.15;1.09;0;0.00;0.62
UNO;2015/01/06 17:01:10;3;3;0.12;20.40;39.70;0.14;1.28;0;0.00;0.62
UNO;2015/01/06 17:01:42;4;4;0.12;20.40;39.90;0.15;1.09;0;0.00;0.62
UNO;2015/01/06 17:02:13;5;5;0.12;20.40;39.80;0.14;1.09;0;0.00;0.62
UNO;2015/01/06 17:02:45;6;6;0.11;20.30;39.80;0.14;1.10;0;0.00;0.62
UNO;2015/01/06 17:03:17;7;7;0.12;20.40;39.70;0.14;1.13;0;0.00;0.62
UNO;2015/01/06 17:03:48;8;8;0.12;20.30;39.70;0.14;1.13;0;0.00;0.62
UNO;2015/01/06 17:04:20;9;9;0.12;20.30;39.80;0.14;1.10;0;0.00;0.62
UNO;2015/01/06 17:04:51;10;10;0.12;20.30;39.60;0.14;1.13;281300;0.92;477.30
UNO;2015/01/06 17:05:22;11;11;0.12;20.30;39.60;0.14;1.31;0;0.00;0.62
UNO;2015/01/06 17:05:54;12;12;0.11;20.30;39.70;0.14;1.22;86245;0.28;147.48
UNO;2015/01/06 17:06:25;13;13;0.12;20.30;39.40;0.14;1.12;405004;1.30;672.51
UNO;2015/01/06 17:06:56;14;14;0.12;20.30;39.30;0.14;1.09;130307;0.43;225.02
UNO;2015/01/06 17:07:27;15;15;0.12;20.30;39.20;0.14;1.60;81892;0.27;139.55
UNO;2015/01/06 17:07:58;16;16;0.12;20.20;38.90;0.14;1.38;516960;1.67;864.54
UNO;2015/01/06 17:08:29;17;17;0.11;20.30;38.80;0.14;1.39;609360;2.02;1045.88
UNO;2015/01/06 17:09:00;18;18;0.11;20.20;39.00;0.13;1.27;537323;1.77;912.82
UNO;2015/01/06 17:09:31;19;19;0.11;20.30;38.90;0.14;1.24;176649;0.59;305.54
UNO;2015/01/06 17:10:02;20;20;0.11;20.30;39.00;0.12;1.20;1151353;3.74;1948.63
UNO;2015/01/06 17:10:33;21;21;0.11;20.30;38.80;0.13;1.37;192299;0.63;329.14
UNO;2015/01/06 17:11:04;22;22;0.11;20.30;38.70;0.13;1.48;0;0.00;0.62
