UNO_515122C0;2015/01/23 10:51:53;0;sampleID;MQ2;DHT22 Temp(C);DHT22 HR;MQ9;HCHO;Lowpulse;ratio;Concentration
UNO_515122C0;2015/01/23 10:52:24;1;1;0.12;22.20;33.50;0.08;0.76;4500370;14.87;10508.89
UNO_515122C0;2015/01/23 10:52:55;2;2;0.12;22.10;33.40;0.08;0.65;3692145;12.06;7644.58
UNO_515122C0;2015/01/23 10:53:26;3;3;0.12;22.20;33.40;0.08;0.65;4533307;14.78;10411.95
UNO_515122C0;2015/01/23 10:53:57;4;4;0.12;22.20;33.50;0.08;0.62;4125794;13.72;9258.90
UNO_515122C0;2015/01/23 10:54:27;5;5;0.12;22.20;33.50;0.08;2.30;4329870;14.38;9968.77
UNO_515122C0;2015/01/23 10:54:58;6;6;0.12;22.20;33.50;0.08;0.63;4226939;14.05;9602.36
UNO_515122C0;2015/01/23 10:55:28;7;7;0.12;22.30;33.60;0.08;1.72;3982404;13.27;8802.11
UNO_515122C0;2015/01/23 10:55:59;8;8;0.12;22.30;33.60;0.08;0.64;4701581;15.63;11400.39
UNO_515122C0;2015/01/23 10:56:30;9;9;0.12;22.30;33.60;0.08;1.99;4320863;14.33;9911.17
UNO_515122C0;2015/01/23 10:57:00;10;10;0.12;22.30;33.60;0.08;0.85;4565748;15.21;10906.11
UNO_515122C0;2015/01/23 10:57:32;11;11;0.12;22.30;33.60;0.08;0.87;4607963;14.98;10640.06
UNO_515122C0;2015/01/23 10:58:03;12;12;0.12;22.30;33.70;0.08;1.20;4709210;15.38;11105.40
UNO_515122C0;2015/01/23 10:58:34;13;13;0.12;22.30;33.60;0.08;1.29;5004072;16.29;12217.20
UNO_515122C0;2015/01/23 10:59:05;14;14;0.12;22.30;33.70;0.08;1.32;4775198;15.83;11641.87
UNO_515122C0;2015/01/23 10:59:35;15;15;0.12;22.40;33.70;0.08;0.60;4508773;14.99;10651.53
UNO_515122C0;2015/01/23 11:00:06;16;16;0.13;22.30;33.60;0.08;0.67;3467804;11.40;7064.58
UNO_515122C0;2015/01/23 11:00:37;17;17;0.14;22.40;32.90;0.09;1.69;4331744;14.39;9973.48
